# perf report for bench-vcdiff (synthetic-decode)
# generated 2026-04-28T15:03:19+10:00
# toolchain: leanprover/lean4:v4.29.0-rc6
# uname: Linux geralt 6.8.0-110-generic #110-Ubuntu SMP PREEMPT_DYNAMIC Thu Mar 19 15:09:20 UTC 2026 x86_64 x86_64 x86_64 GNU/Linux

## Top 30 (flat, self time)
# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 1K of event 'cycles:P'
# Event count (approx.): 1777212294
#
# Overhead       Samples  Symbol                                                                                                                                                       IPC   [IPC Coverage]
# ........  ............  ...........................................................................................................................................................  ....................
#
     0.84%            13  [.] l_List_reverseAux___redArg                                                                                                                               -      -            
     0.78%            12  [.] __memmove_avx_unaligned_erms                                                                                                                             -      -            
     0.77%            12  [.] lean_inc_heartbeat                                                                                                                                       -      -            
     0.77%            12  [.] lp_lean_x2dbdiff_LeanBdiff_Vcdiff_Varint_setContinuationBits                                                                                             -      -            
     0.74%            12  [.] lean_byte_array_push                                                                                                                                     -      -            
     0.70%            11  [.] lean_ctor_release                                                                                                                                        -      -            
     0.59%             9  [.] lp_lean_x2dbdiff___private_Init_Data_Range_Basic_0__Std_Legacy_Range_forIn_x27_loop___at___00mkSynthetic_spec__0___redArg                                -      -            
     0.58%             9  [.] lean_array_push                                                                                                                                          -      -            
     0.58%             9  [.] mi_malloc                                                                                                                                                -      -            
     0.52%             8  [.] lp_lean_x2dbdiff_LeanBdiff_Vcdiff_Encoder_findSingleOpcode                                                                                               -      -            
     0.52%             8  [.] lp_lean_x2dbdiff_LeanBdiff_Vcdiff_AddressCache_State_trySameModes                                                                                        -      -            
     0.44%             7  [.] lp_lean_x2dbdiff_LeanBdiff_Vcdiff_Varint_encode                                                                                                          -      -            
     0.39%             7  [.] lp_lean_x2dbdiff___private_Init_Data_Range_Basic_0__Std_Legacy_Range_forIn_x27_loop___at___00genData_spec__0___redArg                                    -      -            
     0.39%             6  [.] l_List_lengthTR___redArg                                                                                                                                 -      -            
     0.39%             6  [.] lp_lean_x2dbdiff_LeanBdiff_Vcdiff_Encoder_lazyBestMatch                                                                                                  -      -            
     0.38%             7  [k] 0xffffffffa93d3c07                                                                                                                                       -      -            
     0.32%             5  [.] memcpy@plt                                                                                                                                               -      -            
     0.32%             5  [.] lean_byte_array_data                                                                                                                                     -      -            
     0.32%             5  [.] lp_lean_x2dbdiff_LeanBdiff_Vcdiff_Encoder_encodeWindowLoop                                                                                               -      -            
     0.32%             5  [.] lean_alloc_object                                                                                                                                        -      -            
     0.26%             4  [.] l_List_appendTR___redArg                                                                                                                                 -      -            
     0.26%             4  [.] lp_lean_x2dbdiff_LeanBdiff_Vcdiff_Encoder_emitAddWithRuns_emitAddWithRunsRec                                                                             -      -            
     0.22%             4  [k] 0xffffffffa960128c                                                                                                                                       -      -            
     0.20%             3  [.] l_ByteArray_extract                                                                                                                                      -      -            
     0.19%             3  [.] lean_nat_mod                                                                                                                                             -      -            
     0.19%             3  [.] lean_ctor_release                                                                                                                                        -      -            
